FleetCode,FleetName,id
NEI.157,NEI (Belarus),411
NEI.166,NEI (Cambodia),412
NEI.172,NEI (France S. Pierre Miquellon),413
NEI.001,NEI (ETRO),414
NEI.001-BLZ,NEI (ETRO-BLZ),415
NEI.001-CPV,NEI (ETRO-CPV),416
NEI.001-CUW,NEI (ETRO-CUW),417
NEI.001-GHA,NEI (ETRO-GHA),418
NEI.001-GIN,NEI (ETRO-GIN),419
NEI.001-GTM,NEI (ETRO-GTM),420
NEI.001-ITA,NEI (ETRO-ITA),421
NEI.001-LBR,NEI (ETRO-LBR),422
NEI.001-MAR,NEI (ETRO-MAR),423
NEI.001-MLT,NEI (ETRO-MLT),424
NEI.001-MUS,NEI (ETRO-MUS),425
NEI.001-MYS,NEI (ETRO-MYS),426
NEI.001-NOR,NEI (ETRO-NOR),427
NEI.001-PAN,NEI (ETRO-PAN),428
NEI.001-SYC,NEI (ETRO-SYC),429
NEI.001-SEN,NEI (ETRO-SEN),430
NEI.001-SLV,NEI (ETRO-SLV),431
NEI.001-VCT,NEI (ETRO-VCT),432
NEI.001-VEN,NEI (ETRO-VEN),433
NEI.001-VUT,NEI (ETRO-VUT),434
NEI.002,NEI (Medi Uncl.),435
NEI.COMB,NEI (Combined fleets BFT),436
NEI.UK.OT,NEI (UK-O. Territories unclassified),437
NEI-BIL-063,NEI-BIL (Barbados),438
NEI-BIL-003,NEI-BIL (Brasil),439
NEI-BIL-013,NEI-BIL (Korea),440
NEI-BIL-051,NEI-BIL (Liberia),441
NEI-BIL-019,NEI-BIL (EU.Portugal),442
NEI-BIL-042,NEI-BIL (Uruguay),443
NEI-BIL-111,NEI-BIL (S.Vincent Grenadines),444
EU,EU (unspecified),445
MIX.FIS,France + C. Ivoire + Senegal,446
MIX.KR+PA,Korea + Panama,447
MIX.FR+ES,EU.France+España,448
MIX.EU-ETRO,MIX (NEI-ETRO),449
JPN.REF,Japan (Reference data),450
JPN.OB.CAN,Japan (observed by Canada),451
JPN.OB.DZA,Japan (observed by Algeria),452
JPN.OB.SHN,Japan (observed by Sta. Helena),453
JPN.OB.USA,Japan (observed by USA),454
TAI.OB.SHN,Chinese Taipei (observed by Sta. Helena),455
HND.OB.SHN,Honduras (observed by Sta. Helena),456
PAN.OB.SHN,Panama (observed by Sta. Helena),457
SGP.OB.SHN,Singapore (Observed by Sta. Helena),458
BLZ.OB.SHN,Belize (Observed by Sta. Helena),459
SYC.OB.SHN,Seychelles (Observed by Sta. Helena),460
GHA.ICCAT,Ghana (ICCAT program),461
JPN.ICCAT,Japan (ICCAT program),462
CUB.ICCAT,Cuba (ICCAT program),463
CHN.ICCAT,China (ICCAT program),464
RMA,RMA (GBYP),465
